,LSTAT,RM,CHAS,INDUS,TAX,RAD,BLACK,MEDVDerived
54,14.8,5.888,0,4,469,3,396.9,2.939161922
55,4.81,7.249,0,1.22,226,5,395.93,3.56671182
56,5.77,6.383,0,0.74,313,2,396.9,3.206803244
57,3.95,6.816,0,1.32,256,5,392.9,3.453157121
58,6.86,6.145,0,5.13,284,8,390.68,3.148453361
59,9.22,5.927,0,5.13,284,8,396.9,2.975529566
60,13.15,5.741,0,5.13,284,8,395.11,2.928523524
61,14.44,5.966,0,5.13,284,8,378.08,2.772588722
62,6.73,6.456,0,5.13,284,8,396.9,3.100092289
63,9.5,6.762,0,5.13,284,8,395.58,3.218875825
64,8.05,7.104,0,1.38,216,3,393.24,3.496507561
65,4.67,6.29,0,3.37,337,4,396.9,3.157000421
66,10.24,5.787,0,3.37,337,4,396.9,2.965273066
67,8.1,5.878,0,6.07,345,4,396.21,3.091042453
68,13.09,5.594,0,6.07,345,4,396.9,2.856470206
69,8.79,5.885,0,6.07,345,4,396.9,3.039749159
70,6.72,6.417,0,10.81,305,4,383.73,3.186352633
71,9.88,5.961,0,10.81,305,4,376.94,3.077312261
72,5.52,6.065,0,10.81,305,4,390.91,3.126760536
73,7.54,6.245,0,10.81,305,4,377.17,3.152736022
74,6.78,6.273,0,12.83,398,5,394.92,3.18221184
75,8.94,6.286,0,12.83,398,5,383.23,3.063390922
76,11.97,6.279,0,12.83,398,5,373.66,2.995732274
77,10.27,6.14,0,12.83,398,5,386.96,3.034952987
78,12.34,6.232,0,12.83,398,5,386.4,3.054001182
79,9.1,5.874,0,12.83,398,5,396.06,3.010620886
80,5.29,6.727,0,4.86,281,4,396.9,3.33220451
81,7.22,6.619,0,4.86,281,4,395.63,3.173878459
82,6.72,6.302,0,4.86,281,4,396.9,3.210843653
83,7.51,6.167,0,4.86,281,4,390.64,3.131136911
84,9.62,6.389,0,4.49,247,3,396.9,3.173878459
85,6.53,6.63,0,4.49,247,3,392.3,3.280911216
86,12.86,6.015,0,4.49,247,3,395.99,3.113515309
87,8.44,6.121,0,4.49,247,3,395.15,3.100092289
88,5.5,7.007,0,3.41,270,2,396.9,3.161246712
89,5.7,7.079,0,3.41,270,2,396.06,3.356897123
90,8.81,6.417,0,3.41,270,2,392.18,3.117949906
91,8.2,6.405,0,3.41,270,2,393.55,3.091042453
92,8.16,6.442,0,15.04,270,4,395.01,3.131136911
93,6.21,6.211,0,15.04,270,4,396.33,3.218875825
94,10.59,6.249,0,15.04,270,4,396.9,3.025291076
95,6.65,6.625,0,2.89,276,2,357.98,3.346389145
96,11.34,6.163,0,2.89,276,2,391.83,3.063390922
97,4.21,8.069,0,2.89,276,2,396.9,3.6558396
98,3.57,7.82,0,2.89,276,2,393.53,3.779633817
99,6.19,7.416,0,2.89,276,2,396.9,3.502549876
100,9.42,6.727,0,8.56,384,5,394.76,3.314186005
101,7.67,6.781,0,8.56,384,5,395.58,3.277144733
102,10.63,6.405,0,8.56,384,5,70.8,2.923161581
103,13.44,6.137,0,8.56,384,5,394.47,2.960105096
104,12.33,6.167,0,8.56,384,5,392.69,3.000719815
105,16.47,5.851,0,8.56,384,5,394.05,2.970414466
106,18.66,5.836,0,8.56,384,5,395.67,2.970414466
107,14.09,6.127,0,8.56,384,5,387.69,3.015534901
108,12.27,6.474,0,8.56,384,5,395.24,2.985681938
109,15.55,6.229,0,8.56,384,5,391.23,2.965273066
110,13,6.195,0,8.56,384,5,393.49,3.077312261
111,10.16,6.715,0,10.01,432,6,395.59,3.126760536
112,16.21,5.913,0,10.01,432,6,394.95,2.93385687
113,17.09,6.092,0,10.01,432,6,396.9,2.928523524
114,10.45,6.254,0,10.01,432,6,388.74,2.917770732
115,15.76,5.928,0,10.01,432,6,344.91,2.90690106
116,12.04,6.176,0,10.01,432,6,393.3,3.054001182
117,10.3,6.021,0,10.01,432,6,394.51,2.954910279
118,15.37,5.872,0,10.01,432,6,338.63,3.015534901
119,13.61,5.731,0,10.01,432,6,391.5,2.960105096
120,14.37,5.87,0,25.65,188,2,389.15,3.091042453
121,14.27,6.004,0,25.65,188,2,377.67,3.010620886
122,17.93,5.961,0,25.65,188,2,378.09,3.020424886
123,25.41,5.856,0,25.65,188,2,370.31,2.850706502
124,17.58,5.879,0,25.65,188,2,379.38,2.93385687
125,14.81,5.986,0,25.65,188,2,385.02,3.063390922
126,27.26,5.613,0,25.65,188,2,359.29,2.753660712
127,17.19,5.693,0,21.89,437,4,392.11,2.785011242
128,15.39,6.431,0,21.89,437,4,396.9,2.890371758
129,18.34,5.637,0,21.89,437,4,396.9,2.660259537
130,12.6,6.458,0,21.89,437,4,395.04,2.954910279
131,12.26,6.326,0,21.89,437,4,396.9,2.975529566
132,11.12,6.372,0,21.89,437,4,385.76,3.135494216
133,15.03,5.822,0,21.89,437,4,388.69,2.912350665
134,17.31,5.757,0,21.89,437,4,262.76,2.747270914
135,16.96,6.335,0,21.89,437,4,394.67,2.895911938
136,16.9,5.942,0,21.89,437,4,378.25,2.856470206
137,14.59,6.454,0,21.89,437,4,394.08,2.839078464
138,21.32,5.857,0,21.89,437,4,392.04,2.587764035
139,18.46,6.151,0,21.89,437,4,396.9,2.879198457
140,24.16,6.174,0,21.89,437,4,388.08,2.63905733
141,34.41,5.019,0,21.89,437,4,396.9,2.667228207
142,26.82,5.403,1,19.58,403,5,396.9,2.595254707
143,26.42,5.468,0,19.58,403,5,396.9,2.747270914
144,29.29,4.903,0,19.58,403,5,396.9,2.468099531
145,27.8,6.13,0,19.58,403,5,172.91,2.624668592
146,16.65,5.628,0,19.58,403,5,169.27,2.747270914
147,29.53,4.926,0,19.58,403,5,391.71,2.681021529
148,28.32,5.186,0,19.58,403,5,356.99,2.879198457
149,21.45,5.597,0,19.58,403,5,351.85,2.734367509
150,14.1,6.122,0,19.58,403,5,372.8,3.068052935
151,13.28,5.404,0,19.58,403,5,341.6,2.975529566
152,12.12,5.012,1,19.58,403,5,343.28,2.727852828
153,15.79,5.709,0,19.58,403,5,261.95,2.965273066
154,15.12,6.129,1,19.58,403,5,321.02,2.833213344
155,15.02,6.152,1,19.58,403,5,88.01,2.747270914
156,16.14,5.272,0,19.58,403,5,88.63,2.57261223
157,4.59,6.943,0,19.58,403,5,363.43,3.7208625
158,6.43,6.066,0,19.58,403,5,353.89,3.19047635
159,7.39,6.51,0,19.58,403,5,364.31,3.148453361
160,5.5,6.25,1,19.58,403,5,338.92,3.295836866
161,1.73,7.489,0,19.58,403,5,374.43,3.912023005
162,1.92,7.802,1,19.58,403,5,389.61,3.912023005
163,3.32,8.375,1,19.58,403,5,388.45,3.912023005
164,11.64,5.854,0,19.58,403,5,395.11,3.122364924
165,9.81,6.101,0,19.58,403,5,240.16,3.218875825
166,3.7,7.929,0,19.58,403,5,369.3,3.912023005
167,12.14,5.877,0,19.58,403,5,227.61,3.169685581
168,11.1,6.319,0,19.58,403,5,297.09,3.169685581
169,11.32,6.402,0,19.58,403,5,330.04,3.104586678
170,14.43,5.875,0,19.58,403,5,292.29,2.856470206
171,12.03,5.88,0,19.58,403,5,348.13,2.949688335
172,14.69,5.572,0,4.05,296,5,396.9,3.139832618
173,9.04,6.416,0,4.05,296,5,395.5,3.161246712
174,9.64,5.859,0,4.05,296,5,393.23,3.117949906
175,5.33,6.546,0,4.05,296,5,390.96,3.380994674
176,10.11,6.02,0,4.05,296,5,393.23,3.144152279
177,6.29,6.315,0,4.05,296,5,395.6,3.202746443
178,6.92,6.86,0,4.05,296,5,391.27,3.39785848
179,5.04,6.98,0,2.46,193,3,396.9,3.616308761
180,7.56,7.765,0,2.46,193,3,395.56,3.683866912
181,9.45,6.144,0,2.46,193,3,396.9,3.589059119
182,4.82,7.155,0,2.46,193,3,394.12,3.634951112
183,5.68,6.563,0,2.46,193,3,396.9,3.481240089
184,13.98,5.604,0,2.46,193,3,391,3.27336401
185,13.15,6.153,0,2.46,193,3,387.11,3.387774361
186,4.45,7.831,0,2.46,193,3,392.63,3.912023005
187,6.68,6.782,0,3.44,398,5,393.87,3.465735903
188,4.56,6.556,0,3.44,398,5,382.84,3.394508394
189,5.39,7.185,0,3.44,398,5,396.9,3.552486829
190,5.1,6.951,0,3.44,398,5,377.68,3.610917913
191,4.69,6.739,0,3.44,398,5,389.71,3.417726684
192,2.87,7.178,0,3.44,398,5,390.49,3.594568775
193,5.03,6.8,0,2.93,265,1,393.37,3.437207819
194,4.38,6.604,0,2.93,265,1,376.7,3.370738174
195,2.97,7.875,0,0.46,255,4,394.23,3.912023005
196,4.08,7.287,0,1.52,329,2,396.9,3.505557397
197,8.61,7.107,0,1.52,329,2,354.31,3.411147713
198,6.62,7.274,0,1.52,329,2,392.2,3.543853682
199,4.56,6.975,0,1.47,402,3,396.9,3.552486829
200,4.45,7.135,0,1.47,402,3,384.3,3.493472658
201,7.43,6.162,0,2.03,348,2,393.77,3.18221184
202,3.11,7.61,0,2.03,348,2,395.38,3.744787086
203,3.81,7.853,0,2.68,224,4,392.78,3.881563798
204,2.88,8.034,0,2.68,224,4,390.55,3.912023005
205,10.87,5.891,0,10.59,277,4,396.9,3.117949906
206,10.97,6.326,0,10.59,277,4,394.87,3.194583132
207,18.06,5.783,0,10.59,277,4,389.43,3.113515309
208,14.66,6.064,1,10.59,277,4,381.32,3.194583132
209,23.09,5.344,1,10.59,277,4,396.9,2.995732274
210,17.27,5.96,1,10.59,277,4,393.25,3.077312261
211,23.98,5.404,1,10.59,277,4,395.24,2.960105096
212,16.03,5.807,1,10.59,277,4,390.94,3.109060959
213,9.38,6.375,0,10.59,277,4,385.81,3.335769576
214,29.55,5.412,0,10.59,277,4,348.93,3.165475048
215,9.47,6.182,0,10.59,277,4,393.63,3.218875825
216,13.51,5.888,1,13.89,276,5,392.8,3.148453361
217,9.69,6.642,0,13.89,276,5,392.78,3.356897123
218,17.92,5.951,1,13.89,276,5,396.9,3.068052935
219,10.5,6.373,1,13.89,276,5,393.74,3.135494216
220,9.71,6.951,1,6.2,307,8,391.7,3.284663565
221,21.46,6.164,1,6.2,307,8,395.24,3.077312261
222,9.93,6.879,1,6.2,307,8,390.39,3.314186005
223,7.6,6.618,0,6.2,307,8,396.9,3.404525172
224,4.14,8.266,0,6.2,307,8,385.05,3.802208139
225,4.63,8.725,0,6.2,307,8,382,3.912023005
226,3.13,8.04,0,6.2,307,8,387.38,3.62700405
227,6.36,7.163,0,6.2,307,8,372.08,3.453157121
228,3.92,7.686,0,6.2,307,8,377.51,3.843744165
229,3.76,6.552,0,6.2,307,8,380.34,3.449987546
230,11.65,5.981,0,6.2,307,8,378.35,3.19047635
231,5.25,7.412,0,6.2,307,8,376.14,3.456316681
232,2.47,8.337,0,6.2,307,8,385.91,3.730501129
233,3.95,8.247,0,6.2,307,8,378.95,3.877431561
234,8.05,6.726,1,6.2,307,8,360.2,3.36729583
235,10.88,6.086,0,6.2,307,8,376.75,3.17805383
236,9.54,6.631,1,6.2,307,8,388.45,3.222867846
237,4.73,7.358,0,6.2,307,8,390.07,3.449987546
238,6.36,6.481,0,4.93,300,6,379.41,3.165475048
239,7.37,6.606,0,4.93,300,6,383.78,3.148453361
240,11.38,6.897,0,4.93,300,6,391.25,3.091042453
241,12.4,6.095,0,4.93,300,6,394.62,3.000719815
242,11.22,6.358,0,4.93,300,6,372.75,3.100092289
243,5.19,6.393,0,4.93,300,6,374.71,3.165475048
244,12.5,5.593,0,5.86,330,7,372.49,2.867898902
245,18.46,5.605,0,5.86,330,7,389.13,2.917770732
246,9.16,6.108,0,5.86,330,7,390.18,3.19047635
247,10.15,6.226,0,5.86,330,7,376.14,3.020424886
248,9.52,6.433,0,5.86,330,7,374.71,3.198673118
249,6.56,6.718,0,5.86,330,7,393.74,3.265759411
250,5.9,6.487,0,5.86,330,7,396.28,3.194583132
251,3.59,6.438,0,5.86,330,7,377.07,3.210843653
252,3.53,6.957,0,5.86,330,7,386.09,3.387774361
253,3.54,8.259,0,5.86,330,7,396.9,3.756538103
254,6.57,6.108,0,3.64,315,1,392.89,3.086486637
255,9.25,5.876,0,3.64,315,1,395.18,3.039749159
256,3.11,7.454,0,3.75,244,3,386.34,3.784189634
257,5.12,8.704,0,3.97,264,5,389.7,3.912023005
258,7.79,7.333,0,3.97,264,5,383.29,3.583518938
259,6.9,6.842,0,3.97,264,5,391.93,3.404525172
260,9.59,7.203,0,3.97,264,5,392.8,3.520460802
261,7.26,7.52,0,3.97,264,5,388.37,3.763522997
262,5.91,8.398,0,3.97,264,5,386.86,3.887730313
263,11.25,7.327,0,3.97,264,5,393.42,3.433987204
264,8.1,7.206,0,3.97,264,5,387.89,3.597312261
265,10.45,5.56,0,3.97,264,5,392.4,3.126760536
266,14.79,7.014,0,3.97,264,5,384.07,3.424262655
267,7.44,8.297,0,3.97,264,5,384.54,3.912023005
268,3.16,7.47,0,3.97,264,5,390.3,3.772760938
269,13.65,5.92,1,6.96,223,3,391.34,3.0301337
270,13,5.856,0,6.96,223,3,388.65,3.04927304
271,6.59,6.24,0,6.96,223,3,396.9,3.226843995
272,7.73,6.538,0,6.96,223,3,394.96,3.194583132
273,6.58,7.691,1,6.96,223,3,390.77,3.561046083
274,3.53,6.758,1,6.41,254,4,396.9,3.478158423
275,2.98,6.854,0,6.41,254,4,396.9,3.465735903
276,6.05,7.267,1,6.41,254,4,389.25,3.502549876
277,4.16,6.826,1,6.41,254,4,393.45,3.499533282
278,7.19,6.482,0,6.41,254,4,396.9,3.370738174
279,4.85,6.812,0,3.33,216,5,396.9,3.55820113
280,3.76,7.82,0,3.33,216,5,387.31,3.815512105
281,4.59,6.968,0,3.33,216,5,392.23,3.56671182
282,3.01,7.645,1,3.33,216,5,377.07,3.828641396
283,3.16,7.923,1,1.21,198,1,395.52,3.912023005
284,7.85,7.088,0,2.97,285,1,394.72,3.471966453
285,8.23,6.453,0,2.25,300,1,394.72,3.091042453
286,12.93,6.23,0,1.76,241,1,341.6,3.000719815
287,7.14,6.209,0,5.32,293,6,396.9,3.144152279
288,7.6,6.315,0,5.32,293,6,396.9,3.104586678
289,9.51,6.565,0,5.32,293,6,371.72,3.210843653
290,3.33,6.861,0,4.95,245,4,396.9,3.349904087
291,3.56,7.148,0,4.95,245,4,396.9,3.618993327
292,4.7,6.63,0,4.95,245,4,396.9,3.328626689
293,8.58,6.127,0,13.92,289,4,396.9,3.173878459
294,10.4,6.009,0,13.92,289,4,396.9,3.077312261
295,6.27,6.678,0,13.92,289,4,396.9,3.353406718
296,7.39,6.549,0,13.92,289,4,392.85,3.299533728
297,15.84,5.79,0,13.92,289,4,396.9,3.010620886
298,4.97,6.345,0,2.24,358,5,368.24,3.113515309
299,4.74,7.041,0,2.24,358,5,371.58,3.36729583
300,45.99,15.345,1,35.64,781,7,776.0836442,2.349484282
301,45.03,15.093,1,34.59,781,7,775.6694375,2.222643393
302,-8.75,-1.35,1,-8.51,-123,1,-309.1850949,7.406091534
303,-8.64,-1.085,0,-7.27,-124,1,-308.0021919,7.852521722
304,6.07,6.871,0,2.24,358,5,390.86,3.210843653
305,9.5,6.59,0,6.09,329,7,395.75,3.091042453
306,8.67,6.495,0,6.09,329,7,383.61,3.27336401
307,4.86,6.982,0,6.09,329,7,390.43,3.499533282
308,6.93,7.236,0,2.18,222,7,393.68,3.586292865
309,8.93,6.616,0,2.18,222,7,393.36,3.346389145
310,6.47,7.42,0,2.18,222,7,396.9,3.5085559
311,7.53,6.849,0,2.18,222,7,396.9,3.339321978
312,4.54,6.635,0,9.9,304,4,396.9,3.126760536
313,9.97,5.972,0,9.9,304,4,396.24,3.010620886
314,12.64,4.973,0,9.9,304,4,350.45,2.778819272
315,5.98,6.122,0,9.9,304,4,396.9,3.095577609
316,11.72,6.023,0,9.9,304,4,396.3,2.965273066
317,7.9,6.266,0,9.9,304,4,393.39,3.072693315
318,9.28,6.567,0,9.9,304,4,395.69,3.169685581
319,11.5,5.705,0,9.9,304,4,396.42,2.785011242
320,18.33,5.914,0,9.9,304,4,390.7,2.879198457
321,15.94,5.782,0,9.9,304,4,396.9,2.985681938
322,10.36,6.382,0,9.9,304,4,395.21,3.139832618
323,12.73,6.113,0,9.9,304,4,396.23,3.044522438
324,7.2,6.426,0,7.38,287,5,396.9,3.169685581
325,6.87,6.376,0,7.38,287,5,396.9,3.139832618
326,7.7,6.041,0,7.38,287,5,396.9,3.015534901
327,11.74,5.708,0,7.38,287,5,391.13,2.917770732
328,6.12,6.415,0,7.38,287,5,396.9,3.218875825
329,5.08,6.431,0,7.38,287,5,393.68,3.202746443
330,6.15,6.312,0,7.38,287,5,396.9,3.135494216
331,12.79,6.083,0,7.38,287,5,396.9,3.100092289
332,9.97,5.868,0,3.24,430,4,382.44,2.960105096
333,7.34,6.333,0,3.24,430,4,375.21,3.117949906
334,9.09,6.144,0,3.24,430,4,368.57,2.985681938
335,12.43,5.706,0,6.06,304,1,394.02,2.839078464
336,7.83,6.031,0,6.06,304,1,362.25,2.965273066
337,5.68,6.316,0,5.19,224,5,389.71,3.100092289
338,6.75,6.31,0,5.19,224,5,389.4,3.0301337
339,8.01,6.037,0,5.19,224,5,396.9,3.04927304
340,9.8,5.869,0,5.19,224,5,396.9,2.970414466
341,10.56,5.895,0,5.19,224,5,394.81,2.917770732
342,8.51,6.059,0,5.19,224,5,396.14,3.025291076
343,9.74,5.985,0,5.19,224,5,396.9,2.944438979
344,9.29,5.968,0,5.19,224,5,396.9,2.928523524
345,5.49,7.241,0,1.52,284,1,394.74,3.487375078
346,8.65,6.54,0,1.89,422,1,389.96,2.803360381
347,7.18,6.696,0,3.78,370,5,396.9,3.173878459
348,4.61,6.874,0,3.78,370,5,387.97,3.440418095
349,10.53,6.014,0,4.39,352,3,385.64,2.862200881
350,12.67,5.898,0,4.39,352,3,364.61,2.844909384
351,6.36,6.516,0,4.15,351,4,392.43,3.139832618
352,5.99,6.635,0,2.01,280,4,390.94,3.198673118
353,5.89,6.939,0,1.25,335,1,389.85,3.280911216
354,5.98,6.49,0,1.25,335,1,396.9,3.131136911
355,5.49,6.579,0,1.69,411,4,370.78,3.18221184
356,7.79,5.884,0,1.69,411,4,392.33,2.923161581
357,4.5,6.728,0,2.02,187,5,384.46,3.404525172
358,8.05,5.663,0,1.91,334,4,382.8,2.901421594
359,5.57,5.936,0,1.91,334,4,376.04,3.025291076
360,17.6,6.212,1,18.1,666,24,377.73,2.879198457
361,13.27,6.395,1,18.1,666,24,391.34,3.077312261
362,11.48,6.127,1,18.1,666,24,395.43,3.122364924
363,12.67,6.112,0,18.1,666,24,390.74,3.117949906
364,7.79,6.398,0,18.1,666,24,374.56,3.218875825
365,14.19,6.251,0,18.1,666,24,350.65,2.990719732
366,10.19,5.362,0,18.1,666,24,380.79,3.034952987
367,14.64,5.803,1,18.1,666,24,353.04,2.821378886
368,5.29,8.78,1,18.1,666,24,354.55,3.086486637
369,7.12,3.561,0,18.1,666,24,354.7,3.314186005
370,14,4.963,0,18.1,666,24,316.03,3.086486637
371,13.33,3.863,0,18.1,666,24,131.42,3.139832618
372,3.26,4.97,0,18.1,666,24,375.52,3.912023005
373,3.73,6.683,1,18.1,666,24,375.33,3.912023005
374,2.96,7.016,1,18.1,666,24,392.05,3.912023005
375,9.53,6.216,0,18.1,666,24,366.15,3.912023005
376,8.88,5.875,1,18.1,666,24,347.88,3.912023005
377,34.77,4.906,0,18.1,666,24,396.9,2.624668592
378,37.97,4.138,0,18.1,666,24,396.9,2.624668592
379,13.44,7.313,0,18.1,666,24,396.9,2.708050201
380,23.24,6.649,0,18.1,666,24,363.02,2.63188884
381,21.24,6.794,0,18.1,666,24,396.9,2.587764035
382,23.69,6.38,0,18.1,666,24,396.9,2.57261223
383,21.78,6.223,0,18.1,666,24,393.74,2.32238772
384,17.21,6.968,0,18.1,666,24,396.9,2.341805806
385,21.08,6.545,0,18.1,666,24,396.9,2.388762789
386,23.6,5.536,0,18.1,666,24,396.9,2.424802726
387,24.56,5.52,0,18.1,666,24,396.9,2.509599262
388,30.63,4.368,0,18.1,666,24,285.83,2.174751721
389,30.81,5.277,0,18.1,666,24,396.9,1.974081026
390,28.28,4.652,0,18.1,666,24,396.9,2.351375257
391,31.99,5,0,18.1,666,24,396.9,2.00148
392,30.62,4.88,0,18.1,666,24,372.92,2.32238772
393,20.85,5.39,0,18.1,666,24,396.9,2.442347035
394,17.11,5.713,0,18.1,666,24,394.43,2.714694744
395,18.76,6.051,0,18.1,666,24,378.38,3.144152279
396,25.68,5.036,0,18.1,666,24,396.9,2.272125886
397,15.17,6.193,0,18.1,666,24,396.9,2.624668592
398,16.35,5.887,0,18.1,666,24,396.9,2.541601993
399,17.12,6.471,0,18.1,666,24,391.98,2.57261223
400,19.37,6.405,0,18.1,666,24,396.9,2.525728644
401,19.92,5.747,0,18.1,666,24,393.1,2.140066163
402,30.59,5.453,0,18.1,666,24,396.9,1.609437912
403,29.97,5.852,0,18.1,666,24,338.16,1.840549633
404,26.77,5.987,0,18.1,666,24,396.9,1.722766598
405,20.32,6.343,0,18.1,666,24,396.9,1.974081026
406,20.31,6.404,0,18.1,666,24,376.11,2.493205453
407,19.77,5.349,0,18.1,666,24,396.9,2.116255515
408,27.38,5.531,0,18.1,666,24,329.46,2.140066163
409,22.98,5.683,0,18.1,666,24,384.97,1.609437912
410,23.34,4.138,0,18.1,666,24,370.22,2.4765384
411,12.13,5.608,0,18.1,666,24,332.09,3.328626689
412,26.4,5.617,0,18.1,666,24,314.64,2.844909384
413,19.78,6.852,0,18.1,666,24,179.36,3.314186005
414,10.11,5.757,0,18.1,666,24,2.6,2.708050201
415,21.22,6.657,0,18.1,666,24,35.05,2.844909384
416,34.37,4.628,0,18.1,666,24,28.79,2.884800713
417,20.08,5.155,0,18.1,666,24,210.97,2.791165108
418,36.98,4.519,0,18.1,666,24,88.27,1.945910149
419,29.05,6.434,0,18.1,666,24,27.25,1.974081026
420,25.79,6.782,0,18.1,666,24,21.57,2.014903021
421,26.64,5.304,0,18.1,666,24,127.36,2.341805806
422,20.62,5.957,0,18.1,666,24,16.45,2.174751721
423,22.74,6.824,0,18.1,666,24,48.45,2.128231706
424,15.02,6.411,0,18.1,666,24,318.75,2.815408719
425,15.7,6.006,0,18.1,666,24,319.98,2.653241965
426,14.1,5.648,0,18.1,666,24,291.55,3.034952987
427,23.29,6.103,0,18.1,666,24,2.52,2.595254707
428,17.16,5.565,0,18.1,666,24,3.65,2.459588842
429,24.39,5.896,0,18.1,666,24,7.68,2.116255515
430,15.69,5.837,0,18.1,666,24,24.65,2.32238772
431,14.52,6.202,0,18.1,666,24,18.82,2.388762789
432,21.52,6.193,0,18.1,666,24,96.73,2.397895273
433,24.08,6.38,0,18.1,666,24,60.72,2.251291799
434,17.64,6.348,0,18.1,666,24,83.45,2.674148649
435,19.69,6.833,0,18.1,666,24,81.33,2.646174797
436,12.03,6.425,0,18.1,666,24,97.95,2.778819272
437,16.22,6.436,0,18.1,666,24,100.19,2.660259537
438,15.17,6.208,0,18.1,666,24,100.63,2.459588842
439,23.27,6.629,0,18.1,666,24,109.85,2.595254707
440,18.05,6.461,0,18.1,666,24,27.49,2.261763098
441,26.45,6.152,0,18.1,666,24,9.32,2.163323026
442,34.02,5.935,0,18.1,666,24,68.95,2.128231706
443,22.88,5.627,0,18.1,666,24,396.9,2.549445171
444,22.11,5.818,0,18.1,666,24,391.45,2.351375257
445,19.52,6.406,0,18.1,666,24,385.96,2.839078464
446,16.59,6.219,0,18.1,666,24,395.69,2.912350665
447,18.85,6.485,0,18.1,666,24,386.73,2.734367509
448,23.79,5.854,0,18.1,666,24,240.52,2.379546134
449,23.98,6.459,0,18.1,666,24,43.06,2.468099531
450,17.79,6.341,0,18.1,666,24,318.01,2.701361213
451,16.44,6.251,0,18.1,666,24,388.52,2.533696814
452,18.13,6.185,0,18.1,666,24,396.9,2.646174797
453,19.31,6.417,0,18.1,666,24,304.21,2.564949357
454,17.44,6.749,0,18.1,666,24,0.32,2.595254707
455,17.73,6.655,0,18.1,666,24,355.29,2.721295428
456,17.27,6.297,0,18.1,666,24,385.09,2.778819272
457,16.74,7.393,0,18.1,666,24,375.87,2.879198457
458,18.71,6.728,0,18.1,666,24,6.68,2.701361213
459,18.13,6.525,0,18.1,666,24,50.92,2.646174797
460,19.01,5.976,0,18.1,666,24,10.48,2.541601993
461,16.94,5.936,0,18.1,666,24,3.5,2.602689685
462,16.23,6.301,0,18.1,666,24,272.21,2.701361213
